run_id,material,deformation_type,true_density_gcc,compactor_config,roll_diameter_mm,roll_width_mm,sealing_system,roll_surface,scf_kN_per_cm,gap_width_mm,roll_speed_rpm,feed_screw_rpm,densification_factor,nip_angle_deg,peak_pressure_MPa,ribbon_rel_density,ribbon_density_gcc,ribbon_porosity,density_CV_percent,in_zinchuk_window,fines_fraction_pct,granule_d50_um,throughput_kg_hr
132,Mannitol_SD,brittle,1.49,Medium_D250,250,25,rim_rolls,smooth,15.07,2.96,24.19,21.4,2.655,9.88,69.9,0.7429,1.1069,0.2571,4.28,Yes,21.85,265.8,100.6
133,Mannitol_SD,brittle,1.49,Medium_D250,250,25,rim_rolls,smooth,4.86,3.97,14.46,115.5,2.428,10.63,21.0,0.544,0.8105,0.456,2.91,No,33.92,100.4,59.26
134,MCC_Mannitol_Mix,mixed,1.52,Medium_D250_W30,250,30,side_sealing,smooth,9.71,2.18,3.55,115.4,2.927,12.17,36.6,0.7,1.064,0.3,9.45,Yes,27.27,269.6,9.29
135,MCC_Mannitol_Mix,mixed,1.52,Medium_D250_W30,250,30,side_sealing,smooth,10.81,1.18,12.22,50.7,3.619,10.52,47.1,0.738,1.1218,0.262,6.47,Yes,22.36,358.5,26.15
136,Mannitol_SD,brittle,1.49,Medium_D250_W30,250,30,side_sealing,smooth,16.36,1.75,20.12,17.3,3.153,9.87,75.9,0.7687,1.1453,0.2313,8.14,Yes,22.74,227.3,64.19
137,MCC_Mannitol_Mix,mixed,1.52,Small_D120,120,25,side_sealing,smooth,8.32,1.34,10.44,15.4,2.702,10.21,77.9,0.8364,1.2713,0.1636,8.09,No,16.86,403.9,23.78
138,MCC_Mannitol_Mix,mixed,1.52,Small_D120,120,25,rim_rolls,knurled,17.85,5.63,12.91,107.0,1.831,15.91,107.2,0.8697,1.3219,0.1303,2.49,No,10.68,403.9,121.47
139,Mannitol_SD,brittle,1.49,Medium_D250,250,25,side_sealing,knurled,2.46,2.55,12.21,35.1,2.782,15.13,7.5,0.4301,0.6408,0.5699,6.84,No,46.15,97.3,24.97
140,MCC_101,plastic,1.55,Small_D120,120,25,side_sealing,smooth,6.9,2.71,9.16,87.4,2.199,11.25,58.5,0.7937,1.2302,0.2063,6.45,Yes,20.3,402.3,40.35
141,MCC_101,plastic,1.55,Medium_D250,250,25,rim_rolls,smooth,14.65,1.89,19.34,48.3,3.068,10.58,63.4,0.7792,1.2077,0.2208,3.7,Yes,14.32,370.8,56.98
142,MCC_Mannitol_Mix,mixed,1.52,Small_D120,120,25,side_sealing,smooth,14.95,2.5,18.34,13.3,2.246,10.1,141.3,0.8818,1.3403,0.1182,7.51,No,16.0,419.8,79.97
143,MCC_101,plastic,1.55,Small_D120,120,25,rim_rolls,knurled,8.12,2.59,24.97,68.2,2.225,15.61,49.7,0.7161,1.11,0.2839,4.38,Yes,21.09,352.3,90.4
144,MCC_Mannitol_Mix,mixed,1.52,Medium_D250_W30,250,30,rim_rolls,smooth,7.69,3.34,23.66,20.8,2.556,10.13,34.8,0.6272,0.9533,0.3728,5.22,Yes,26.17,170.9,116.08
145,MCC_Mannitol_Mix,mixed,1.52,Medium_D250_W30,250,30,side_sealing,smooth,15.25,5.75,21.33,50.0,2.187,10.32,67.8,0.761,1.1567,0.239,7.35,Yes,24.9,313.4,216.99
146,Mannitol_SD,brittle,1.49,Medium_D250_W30,250,30,rim_rolls,knurled,8.9,5.9,2.7,45.4,2.172,16.23,25.1,0.5651,0.842,0.4349,2.45,No,33.91,170.8,22.83
147,MCC_101,plastic,1.55,Medium_D250_W30,250,30,side_sealing,smooth,6.49,2.34,7.33,31.3,2.86,10.78,27.6,0.6806,1.0549,0.3194,7.01,Yes,26.19,284.2,25.18
148,Mannitol_SD,brittle,1.49,Medium_D250,250,25,rim_rolls,smooth,13.29,1.27,1.65,95.9,3.528,12.63,48.2,0.6858,1.0219,0.3142,10.84,Yes,22.03,230.5,5.66
149,MCC_Mannitol_Mix,mixed,1.52,Medium_D250_W30,250,30,rim_rolls,knurled,19.95,1.93,9.54,23.0,3.05,15.32,59.7,0.7929,1.2052,0.2071,4.02,Yes,12.23,369.7,33.96
150,MCC_Mannitol_Mix,mixed,1.52,Medium_D250,250,25,side_sealing,smooth,7.85,4.16,14.84,33.5,2.396,10.31,34.9,0.6599,1.0031,0.3401,7.38,Yes,28.93,221.8,79.8
151,Mannitol_SD,brittle,1.49,Small_D120,120,25,rim_rolls,knurled,9.15,2.32,17.67,29.7,2.295,14.98,58.3,0.701,1.0444,0.299,3.58,Yes,22.45,245.8,53.99
152,MCC_101,plastic,1.55,Small_D120,120,25,side_sealing,knurled,16.57,4.98,7.87,31.6,1.884,15.76,100.5,0.9296,1.4408,0.0704,6.59,No,12.4,507.5,73.71
153,MCC_Mannitol_Mix,mixed,1.52,Small_D120,120,25,rim_rolls,knurled,11.61,1.17,21.86,29.9,2.826,15.19,73.0,0.7928,1.2051,0.2072,3.76,Yes,15.11,325.0,38.43
154,MCC_101,plastic,1.55,Medium_D250,250,25,rim_rolls,smooth,12.57,5.26,6.22,56.3,2.241,11.22,51.4,0.8123,1.259,0.1877,3.6,No,9.86,367.0,52.93
155,Mannitol_SD,brittle,1.49,Small_D120,120,25,side_sealing,smooth,17.78,4.69,23.29,61.5,1.91,10.1,168.1,0.8934,1.3312,0.1066,8.03,No,17.24,358.8,185.52
156,Mannitol_SD,brittle,1.49,Medium_D250,250,25,rim_rolls,smooth,6.87,2.12,22.45,52.5,2.953,10.06,31.3,0.5886,0.8771,0.4114,4.75,No,31.45,87.3,55.0
157,MCC_101,plastic,1.55,Medium_D250_W30,250,30,side_sealing,knurled,14.46,5.04,2.84,98.0,2.268,17.49,37.9,0.745,1.1548,0.255,9.76,Yes,19.92,350.0,24.74
158,MCC_Mannitol_Mix,mixed,1.52,Medium_D250_W30,250,30,side_sealing,smooth,19.02,3.38,13.59,98.7,2.548,10.82,80.6,0.8012,1.2178,0.1988,6.38,No,23.31,341.7,85.97
159,MCC_Mannitol_Mix,mixed,1.52,Medium_D250_W30,250,30,rim_rolls,smooth,8.23,5.06,1.68,10.4,2.265,10.72,35.2,0.6734,1.0235,0.3266,4.05,Yes,19.23,258.6,15.3
160,MCC_Mannitol_Mix,mixed,1.52,Small_D120,120,25,rim_rolls,knurled,5.63,4.1,29.35,78.1,1.974,15.35,35.0,0.597,0.9075,0.403,3.75,No,24.1,104.6,139.04
161,MCC_101,plastic,1.55,Medium_D250_W30,250,30,rim_rolls,knurled,15.08,2.98,7.58,76.9,2.649,16.3,42.4,0.7858,1.2179,0.2142,2.48,Yes,10.3,425.5,42.35
162,Mannitol_SD,brittle,1.49,Medium_D250_W30,250,30,rim_rolls,knurled,6.51,5.23,22.11,25.9,2.245,14.92,20.0,0.5267,0.7848,0.4733,3.69,No,37.04,51.1,138.06
163,MCC_Mannitol_Mix,mixed,1.52,Medium_D250,250,25,rim_rolls,smooth,4.88,5.7,20.46,118.4,2.192,10.69,21.0,0.5672,0.8621,0.4328,4.81,No,28.05,196.8,127.31
164,MCC_101,plastic,1.55,Medium_D250_W30,250,30,side_sealing,smooth,10.01,2.74,1.69,74.7,2.718,12.78,35.9,0.7435,1.1525,0.2565,11.49,Yes,22.84,365.3,7.32
165,MCC_Mannitol_Mix,mixed,1.52,Medium_D250_W30,250,30,side_sealing,smooth,5.33,1.66,14.98,61.9,3.207,10.52,23.2,0.6011,0.9136,0.3989,6.47,Yes,29.12,196.6,37.74
166,Mannitol_SD,brittle,1.49,Medium_D250,250,25,side_sealing,smooth,14.67,5.01,11.61,13.3,2.271,9.91,67.8,0.7317,1.0902,0.2683,7.85,Yes,26.63,265.8,82.89
167,MCC_Mannitol_Mix,mixed,1.52,Medium_D250,250,25,side_sealing,smooth,13.43,3.53,24.34,48.7,2.515,10.27,59.9,0.7179,1.0912,0.2821,7.67,Yes,24.1,288.3,118.17
168,Mannitol_SD,brittle,1.49,Medium_D250_W30,250,30,rim_rolls,knurled,17.29,3.45,11.96,89.7,2.533,15.59,50.8,0.6779,1.0101,0.3221,2.8,Yes,26.96,195.1,61.41
169,Mannitol_SD,brittle,1.49,Small_D120,120,25,side_sealing,smooth,18.3,3.44,22.65,58.5,2.064,10.09,173.1,0.9038,1.3466,0.0962,7.05,No,16.89,380.8,133.15
170,MCC_Mannitol_Mix,mixed,1.52,Medium_D250,250,25,rim_rolls,smooth,2.85,5.08,21.23,24.1,2.263,10.16,12.9,0.5053,0.7681,0.4947,4.86,No,34.21,100.4,105.03
171,Mannitol_SD,brittle,1.49,Medium_D250,250,25,side_sealing,knurled,19.22,4.32,19.98,115.1,2.37,15.43,57.1,0.6903,1.0285,0.3097,5.49,Yes,27.23,213.7,115.37
172,Mannitol_SD,brittle,1.49,Medium_D250,250,25,rim_rolls,smooth,8.92,1.01,21.78,108.2,3.834,10.36,39.5,0.6431,0.9582,0.3569,3.99,Yes,25.09,183.6,26.12
173,MCC_101,plastic,1.55,Medium_D250,250,25,rim_rolls,knurled,12.37,1.42,7.11,89.8,3.389,16.47,34.4,0.7387,1.145,0.2613,2.24,Yes,16.38,352.4,12.56
174,MCC_Mannitol_Mix,mixed,1.52,Small_D120,120,25,side_sealing,smooth,12.66,3.89,9.89,60.1,1.999,10.71,112.8,0.8756,1.3309,0.1244,6.33,No,16.57,433.9,66.88
175,Mannitol_SD,brittle,1.49,Small_D120,120,25,side_sealing,smooth,15.61,2.44,21.25,26.2,2.262,9.92,150.2,0.8898,1.3257,0.1102,7.36,No,16.86,367.5,88.61
176,MCC_Mannitol_Mix,mixed,1.52,Medium_D250_W30,250,30,side_sealing,knurled,8.65,2.11,10.83,86.6,2.959,15.88,25.0,0.5954,0.9049,0.4046,5.79,No,35.35,171.4,30.12
177,MCC_Mannitol_Mix,mixed,1.52,Small_D120,120,25,side_sealing,smooth,12.55,2.25,9.78,13.2,2.314,10.19,117.6,0.9045,1.3749,0.0955,7.13,No,12.5,403.2,37.35
178,MCC_101,plastic,1.55,Medium_D250_W30,250,30,rim_rolls,knurled,19.41,5.37,21.55,29.4,2.229,15.44,57.6,0.7299,1.1313,0.2701,3.12,Yes,17.89,295.7,199.65
179,MCC_Mannitol_Mix,mixed,1.52,Medium_D250_W30,250,30,side_sealing,smooth,6.23,1.31,20.97,18.0,3.49,10.12,28.2,0.6183,0.9398,0.3817,8.22,Yes,28.43,140.1,39.86
180,MCC_Mannitol_Mix,mixed,1.52,Medium_D250,250,25,rim_rolls,smooth,17.01,4.24,29.49,31.3,2.382,10.15,76.8,0.7539,1.1459,0.2461,4.56,Yes,16.72,307.0,183.84
181,MCC_Mannitol_Mix,mixed,1.52,Medium_D250,250,25,side_sealing,knurled,6.74,4.81,5.68,42.2,2.298,15.83,19.5,0.5808,0.8828,0.4192,5.65,No,33.01,182.6,31.57
182,Mannitol_SD,brittle,1.49,Medium_D250_W30,250,30,side_sealing,knurled,6.62,4.72,5.53,84.4,2.31,16.14,18.8,0.5141,0.766,0.4859,5.8,No,41.68,82.8,31.65
183,MCC_Mannitol_Mix,mixed,1.52,Medium_D250_W30,250,30,rim_rolls,smooth,12.05,4.87,6.55,50.0,2.29,10.85,50.9,0.7336,1.1151,0.2664,3.43,Yes,16.71,276.5,54.38
184,Mannitol_SD,brittle,1.49,Small_D120,120,25,side_sealing,smooth,2.79,3.69,15.63,85.4,2.027,10.4,25.7,0.5465,0.8144,0.4535,7.88,No,33.69,129.0,58.07
185,MCC_101,plastic,1.55,Medium_D250_W30,250,30,rim_rolls,smooth,6.96,1.75,22.81,11.8,3.15,10.33,30.9,0.6364,0.9864,0.3636,5.47,Yes,19.88,238.4,61.3
186,MCC_101,plastic,1.55,Medium_D250,250,25,side_sealing,knurled,6.81,5.71,20.67,35.8,2.191,15.49,20.2,0.544,0.8432,0.456,6.68,No,33.28,204.0,126.8
187,MCC_101,plastic,1.55,Medium_D250_W30,250,30,rim_rolls,knurled,10.0,3.6,28.33,53.1,2.5,15.51,29.6,0.6029,0.9345,0.3971,3.63,Yes,23.93,218.4,147.26
188,MCC_Mannitol_Mix,mixed,1.52,Medium_D250,250,25,rim_rolls,knurled,15.3,1.74,17.75,113.9,3.158,15.74,44.5,0.7237,1.1001,0.2763,2.96,Yes,19.36,331.9,41.9
189,MCC_Mannitol_Mix,mixed,1.52,Medium_D250,250,25,rim_rolls,smooth,12.3,1.6,11.79,70.1,3.249,10.7,52.7,0.765,1.1628,0.235,3.99,Yes,21.06,357.9,28.94
190,Mannitol_SD,brittle,1.49,Medium_D250,250,25,rim_rolls,knurled,16.02,4.31,18.08,97.9,2.37,15.4,47.7,0.6817,1.0157,0.3183,3.19,Yes,23.15,195.6,103.42
191,MCC_101,plastic,1.55,Medium_D250,250,25,rim_rolls,knurled,7.19,2.72,25.16,99.2,2.726,15.75,20.9,0.5462,0.8466,0.4538,3.27,No,30.95,206.5,74.8
192,MCC_Mannitol_Mix,mixed,1.52,Medium_D250_W30,250,30,rim_rolls,knurled,13.45,3.24,26.31,55.6,2.581,15.29,40.3,0.6441,0.979,0.3559,4.8,Yes,24.35,209.7,125.36
193,Mannitol_SD,brittle,1.49,Small_D120,120,25,rim_rolls,knurled,13.7,5.18,26.8,22.1,1.866,14.87,88.0,0.7943,1.1835,0.2057,4.97,Yes,14.76,257.6,210.99
194,Mannitol_SD,brittle,1.49,Small_D120,120,25,side_sealing,smooth,11.18,1.45,29.7,109.5,2.639,10.22,104.5,0.8165,1.2166,0.1835,7.61,No,21.71,349.1,66.22
195,MCC_101,plastic,1.55,Small_D120,120,25,rim_rolls,knurled,17.15,1.21,3.43,38.2,2.791,16.37,100.0,0.9457,1.4658,0.0543,1.22,No,5.06,581.4,6.87
196,MCC_Mannitol_Mix,mixed,1.52,Medium_D250_W30,250,30,side_sealing,knurled,10.27,2.74,20.11,37.2,2.72,15.25,30.9,0.631,0.9591,0.369,7.0,Yes,31.68,199.9,80.73
197,Mannitol_SD,brittle,1.49,Medium_D250_W30,250,30,side_sealing,smooth,15.47,4.15,28.48,116.1,2.397,10.26,69.1,0.7278,1.0845,0.2722,7.33,Yes,23.52,234.1,193.15
198,MCC_Mannitol_Mix,mixed,1.52,Medium_D250_W30,250,30,side_sealing,knurled,2.36,4.06,12.75,17.6,2.412,15.19,7.1,0.4592,0.698,0.5408,6.56,No,42.79,54.8,54.57
199,MCC_Mannitol_Mix,mixed,1.52,Medium_D250_W30,250,30,side_sealing,knurled,4.65,3.54,5.09,23.0,2.514,15.56,13.7,0.5359,0.8145,0.4641,6.11,No,36.59,131.8,23.18
200,MCC_Mannitol_Mix,mixed,1.52,Small_D120,120,25,side_sealing,smooth,18.5,2.64,4.46,112.0,2.215,11.88,148.6,0.9396,1.4282,0.0604,8.41,No,9.54,528.5,22.83
201,MCC_Mannitol_Mix,mixed,1.52,Small_D120,120,25,side_sealing,smooth,18.72,1.3,6.48,18.6,2.73,10.38,172.3,0.95,1.444,0.05,6.94,No,12.04,468.0,14.24
202,MCC_101,plastic,1.55,Medium_D250,250,25,rim_rolls,knurled,18.6,2.62,18.02,79.7,2.759,15.8,53.9,0.7762,1.2031,0.2238,3.47,Yes,17.8,348.6,73.48
203,Mannitol_SD,brittle,1.49,Medium_D250,250,25,rim_rolls,smooth,9.57,1.59,12.88,37.7,3.26,10.13,43.3,0.6686,0.9962,0.3314,4.36,Yes,31.12,261.2,22.64
204,MCC_101,plastic,1.55,Small_D120,120,25,side_sealing,smooth,18.19,2.69,19.08,89.3,2.201,10.83,160.5,0.8756,1.3572,0.1244,7.92,No,16.09,506.9,91.47
205,MCC_101,plastic,1.55,Medium_D250,250,25,rim_rolls,smooth,18.95,5.55,26.6,13.2,2.208,10.32,84.2,0.7757,1.2024,0.2243,5.3,Yes,13.57,360.3,227.0
206,MCC_Mannitol_Mix,mixed,1.52,Medium_D250_W30,250,30,rim_rolls,smooth,14.93,5.71,13.39,44.0,2.191,10.43,65.6,0.7878,1.1974,0.2122,5.75,Yes,13.48,384.1,142.25
207,MCC_101,plastic,1.55,Medium_D250_W30,250,30,side_sealing,knurled,2.06,1.91,27.48,75.8,3.06,15.62,6.1,0.44,0.682,0.56,6.6,No,40.94,93.3,52.83
208,MCC_101,plastic,1.55,Small_D120,120,25,side_sealing,smooth,15.6,3.71,17.41,63.5,2.023,10.72,139.0,0.9012,1.3969,0.0988,6.38,No,12.15,477.5,114.93
209,Mannitol_SD,brittle,1.49,Medium_D250_W30,250,30,side_sealing,knurled,3.38,1.65,2.66,57.3,3.215,16.47,9.4,0.472,0.7033,0.528,6.69,No,41.09,73.8,5.38
210,MCC_101,plastic,1.55,Medium_D250_W30,250,30,side_sealing,knurled,17.29,5.54,29.52,76.9,2.209,15.6,50.8,0.6776,1.0503,0.3224,6.62,Yes,29.73,257.5,261.39
211,MCC_Mannitol_Mix,mixed,1.52,Medium_D250,250,25,rim_rolls,smooth,13.34,5.82,13.09,82.1,2.18,10.73,57.0,0.7561,1.1492,0.2439,3.46,Yes,20.4,327.8,111.12
212,Mannitol_SD,brittle,1.49,Medium_D250,250,25,side_sealing,knurled,15.17,5.92,27.15,87.8,2.17,15.17,45.8,0.6328,0.9429,0.3672,7.32,Yes,32.85,155.8,195.93
213,Mannitol_SD,brittle,1.49,Medium_D250_W30,250,30,side_sealing,smooth,18.77,1.81,2.86,79.6,3.114,11.74,73.3,0.7719,1.1501,0.2281,9.0,Yes,24.22,312.6,7.12
214,Mannitol_SD,brittle,1.49,Medium_D250_W30,250,30,rim_rolls,smooth,8.01,4.83,14.22,87.0,2.295,10.47,35.1,0.6116,0.9113,0.3884,3.58,Yes,27.07,181.1,94.65
215,Mannitol_SD,brittle,1.49,Medium_D250_W30,250,30,rim_rolls,smooth,9.61,4.04,10.41,100.9,2.415,10.77,40.9,0.6467,0.9636,0.3533,2.63,Yes,25.5,225.0,62.35
216,Mannitol_SD,brittle,1.49,Small_D120,120,25,side_sealing,knurled,18.22,3.36,17.18,114.6,2.075,15.52,112.1,0.8573,1.2774,0.1427,6.42,No,18.71,338.7,94.1
217,MCC_101,plastic,1.55,Medium_D250_W30,250,30,side_sealing,knurled,8.94,3.09,22.35,67.7,2.62,15.65,26.2,0.6144,0.9524,0.3856,6.56,Yes,30.18,256.0,101.64
218,Mannitol_SD,brittle,1.49,Medium_D250,250,25,side_sealing,smooth,13.15,1.58,12.35,98.9,3.261,10.63,56.7,0.7083,1.0554,0.2917,7.1,Yes,25.6,201.8,27.18
219,Mannitol_SD,brittle,1.49,Medium_D250_W30,250,30,side_sealing,smooth,5.12,1.52,18.31,89.0,3.309,10.34,22.7,0.5363,0.7991,0.4637,7.6,No,38.85,76.8,33.52
220,MCC_101,plastic,1.55,Small_D120,120,25,side_sealing,knurled,15.93,3.4,8.61,60.2,2.069,16.04,94.8,0.9064,1.405,0.0936,5.73,No,11.22,456.0,52.77
221,Mannitol_SD,brittle,1.49,Medium_D250,250,25,side_sealing,smooth,11.28,2.72,25.78,12.4,2.726,9.82,52.6,0.6706,0.9992,0.3294,7.42,Yes,28.92,217.7,88.57
222,MCC_101,plastic,1.55,Medium_D250,250,25,side_sealing,knurled,6.97,2.37,14.22,47.3,2.847,15.68,20.4,0.5955,0.923,0.4045,6.67,No,30.26,260.8,43.43
223,MCC_101,plastic,1.55,Medium_D250_W30,250,30,side_sealing,knurled,15.29,2.75,18.46,95.6,2.715,15.88,44.1,0.6957,1.0784,0.3043,6.6,Yes,22.94,316.0,84.68
224,Mannitol_SD,brittle,1.49,Small_D120,120,25,rim_rolls,smooth,2.39,1.56,29.24,29.1,2.577,9.89,23.1,0.5338,0.7953,0.4662,5.71,No,33.97,100.6,45.97
225,MCC_Mannitol_Mix,mixed,1.52,Medium_D250_W30,250,30,side_sealing,smooth,13.95,2.6,7.01,31.8,2.764,10.56,60.6,0.7598,1.155,0.2402,7.46,Yes,24.24,327.1,31.58
226,MCC_Mannitol_Mix,mixed,1.52,Small_D120,120,25,side_sealing,knurled,4.0,5.72,23.04,73.0,1.824,15.41,24.8,0.5727,0.8705,0.4273,5.79,No,34.86,129.6,147.47
227,MCC_Mannitol_Mix,mixed,1.52,Medium_D250,250,25,rim_rolls,smooth,9.71,1.82,17.72,118.0,3.11,10.77,41.4,0.6843,1.0402,0.3157,4.28,Yes,26.31,262.1,42.73
228,MCC_101,plastic,1.55,Small_D120,120,25,rim_rolls,smooth,13.62,3.32,17.76,77.3,2.083,10.79,120.5,0.8623,1.3366,0.1377,4.68,No,8.83,480.7,102.6
229,Mannitol_SD,brittle,1.49,Medium_D250,250,25,rim_rolls,knurled,14.29,4.73,2.8,53.7,2.308,16.36,40.1,0.6336,0.9441,0.3664,3.19,Yes,27.38,196.6,16.14
230,Mannitol_SD,brittle,1.49,Small_D120,120,25,side_sealing,knurled,3.46,1.05,28.01,88.3,2.922,15.16,21.8,0.5377,0.8012,0.4623,6.41,No,38.39,89.8,29.26
231,MCC_101,plastic,1.55,Small_D120,120,25,rim_rolls,smooth,3.58,4.58,27.52,109.7,1.921,10.75,31.8,0.6192,0.9598,0.3808,3.87,Yes,24.28,237.5,156.46
232,MCC_101,plastic,1.55,Small_D120,120,25,side_sealing,knurled,4.21,4.01,22.64,13.8,1.985,15.34,26.2,0.5838,0.9049,0.4162,6.75,No,33.23,192.8,103.7
233,MCC_101,plastic,1.55,Medium_D250,250,25,rim_rolls,smooth,2.91,2.17,25.02,30.4,2.931,10.42,12.8,0.5103,0.7909,0.4897,4.98,No,30.72,130.5,54.61
234,MCC_101,plastic,1.55,Small_D120,120,25,rim_rolls,smooth,14.29,3.43,25.63,92.3,2.065,10.71,127.4,0.829,1.285,0.171,3.78,No,9.92,389.2,145.69
235,MCC_101,plastic,1.55,Small_D120,120,25,side_sealing,smooth,19.36,1.24,2.47,22.0,2.773,11.21,164.9,0.95,1.4725,0.05,6.28,No,11.06,571.8,3.31
236,MCC_Mannitol_Mix,mixed,1.52,Small_D120,120,25,side_sealing,smooth,10.0,3.55,9.64,55.3,2.047,10.68,89.4,0.8585,1.3049,0.1415,6.62,No,15.37,409.8,58.79
237,MCC_Mannitol_Mix,mixed,1.52,Medium_D250,250,25,side_sealing,smooth,7.01,3.0,27.02,31.9,2.642,10.17,31.6,0.6181,0.9396,0.3819,8.06,Yes,30.13,174.0,97.93
238,MCC_101,plastic,1.55,Small_D120,120,25,side_sealing,knurled,8.32,1.75,12.79,63.5,2.49,15.85,50.1,0.7805,1.2098,0.2195,5.84,Yes,16.49,352.0,31.9
239,MCC_101,plastic,1.55,Medium_D250,250,25,side_sealing,knurled,10.07,4.29,27.87,71.0,2.374,15.59,29.6,0.589,0.913,0.411,6.96,No,28.25,140.8,138.39
240,MCC_Mannitol_Mix,mixed,1.52,Small_D120,120,25,side_sealing,smooth,19.09,2.74,8.41,40.5,2.192,10.59,172.2,0.9483,1.4415,0.0517,7.17,No,8.66,517.0,42.77
241,MCC_Mannitol_Mix,mixed,1.52,Small_D120,120,25,side_sealing,smooth,12.79,5.6,6.45,27.0,1.833,10.52,116.0,0.8954,1.361,0.1046,7.34,No,15.02,451.6,60.46
242,MCC_Mannitol_Mix,mixed,1.52,Medium_D250_W30,250,30,side_sealing,knurled,7.14,1.4,10.12,13.8,3.402,15.19,21.5,0.5807,0.8827,0.4193,6.96,No,34.14,180.3,21.37
243,MCC_101,plastic,1.55,Medium_D250,250,25,rim_rolls,smooth,19.76,1.95,2.28,66.7,3.041,12.3,73.6,0.8856,1.3726,0.1144,6.31,No,10.28,474.3,8.61
244,Mannitol_SD,brittle,1.49,Medium_D250,250,25,rim_rolls,knurled,6.05,5.06,27.73,119.4,2.265,15.29,18.1,0.5073,0.7558,0.4927,3.4,No,35.44,115.9,136.69
245,MCC_Mannitol_Mix,mixed,1.52,Medium_D250,250,25,side_sealing,knurled,13.6,2.71,6.83,55.4,2.729,15.89,39.2,0.6971,1.0596,0.3029,6.03,Yes,27.66,271.7,23.13
246,MCC_Mannitol_Mix,mixed,1.52,Small_D120,120,25,rim_rolls,smooth,3.68,2.63,16.96,58.4,2.215,10.44,33.6,0.6376,0.9692,0.3624,4.41,Yes,22.05,261.5,56.08
247,MCC_Mannitol_Mix,mixed,1.52,Medium_D250_W30,250,30,side_sealing,knurled,13.33,1.16,26.36,108.2,3.647,15.52,39.4,0.6532,0.9929,0.3468,6.06,Yes,32.99,228.3,45.25
248,MCC_Mannitol_Mix,mixed,1.52,Small_D120,120,25,rim_rolls,smooth,10.05,5.33,25.27,81.7,1.854,10.42,92.1,0.8103,1.2317,0.1897,5.05,No,12.91,329.9,212.09
249,MCC_Mannitol_Mix,mixed,1.52,Small_D120,120,25,side_sealing,smooth,19.25,5.93,3.41,78.7,1.81,11.79,155.9,0.941,1.4304,0.059,7.92,No,12.66,496.8,36.73
250,MCC_Mannitol_Mix,mixed,1.52,Medium_D250_W30,250,30,rim_rolls,knurled,13.55,5.43,10.57,48.4,2.222,15.57,39.9,0.7067,1.0741,0.2933,2.78,Yes,18.68,244.3,93.12
251,MCC_101,plastic,1.55,Medium_D250,250,25,side_sealing,knurled,15.29,1.24,10.49,98.8,3.56,16.25,43.1,0.7803,1.2094,0.2197,6.29,Yes,18.86,356.2,22.71
252,MCC_101,plastic,1.55,Medium_D250,250,25,side_sealing,smooth,2.53,2.11,17.68,95.6,2.96,10.9,10.6,0.4981,0.772,0.5019,6.9,No,37.9,191.5,34.78
253,MCC_Mannitol_Mix,mixed,1.52,Small_D120,120,25,rim_rolls,smooth,7.25,5.22,12.11,42.1,1.863,10.45,66.3,0.7758,1.1792,0.2242,4.95,Yes,15.69,384.7,92.84
254,MCC_Mannitol_Mix,mixed,1.52,Medium_D250,250,25,rim_rolls,knurled,10.95,4.51,11.24,62.3,2.34,15.66,32.0,0.6742,1.0249,0.3258,2.81,Yes,25.46,280.3,66.17
255,MCC_101,plastic,1.55,Small_D120,120,25,rim_rolls,knurled,6.63,2.87,29.39,94.2,2.164,15.67,40.4,0.6331,0.9813,0.3669,3.12,Yes,20.56,243.8,106.6
256,MCC_101,plastic,1.55,Medium_D250_W30,250,30,side_sealing,knurled,14.05,2.01,13.69,41.8,3.01,15.65,41.2,0.7261,1.1255,0.2739,6.08,Yes,21.32,354.4,48.91
257,Mannitol_SD,brittle,1.49,Small_D120,120,25,side_sealing,knurled,3.87,3.22,15.09,91.5,2.099,15.46,23.9,0.5385,0.8023,0.4615,6.17,No,40.29,98.3,49.28
258,MCC_101,plastic,1.55,Medium_D250,250,25,side_sealing,smooth,8.94,3.1,19.01,33.9,2.617,10.5,39.0,0.6767,1.0489,0.3233,6.87,Yes,31.04,310.6,80.16
259,Mannitol_SD,brittle,1.49,Small_D120,120,25,side_sealing,knurled,5.04,3.95,20.67,40.4,1.992,15.02,32.0,0.5826,0.8681,0.4174,7.37,No,35.67,101.6,91.57
260,MCC_101,plastic,1.55,Medium_D250_W30,250,30,side_sealing,knurled,10.51,4.44,2.59,85.6,2.35,17.44,27.6,0.669,1.037,0.331,9.36,Yes,28.11,353.2,19.57
261,Mannitol_SD,brittle,1.49,Small_D120,120,25,rim_rolls,knurled,3.65,1.05,3.72,89.1,2.923,16.58,21.0,0.556,0.8284,0.444,4.78,No,30.3,170.7,3.26
262,MCC_Mannitol_Mix,mixed,1.52,Medium_D250_W30,250,30,side_sealing,knurled,9.68,3.77,12.6,33.3,2.466,15.35,28.9,0.5979,0.9088,0.4021,7.16,No,34.45,153.1,66.47
263,MCC_Mannitol_Mix,mixed,1.52,Medium_D250,250,25,side_sealing,smooth,5.84,4.94,6.69,104.0,2.28,11.41,23.5,0.5812,0.8835,0.4188,7.24,No,38.21,162.4,35.02
264,Mannitol_SD,brittle,1.49,Small_D120,120,25,side_sealing,knurled,12.94,5.15,18.74,54.8,1.869,15.13,81.6,0.7721,1.1504,0.2279,6.99,Yes,22.17,249.6,142.98
